pop,FV3,ind,nacl,mass_g,svl,stage,viralload,nutrient,value,HazardRatio,scalenutrient
RRG,RV,23,250,0.1575,9.78,36,114982.9654,NP,5.649988775,10.87194475,0.236171477
RRG,RV,23,250,0.1575,9.78,36,114982.9654,SRP,0.408087704,10.87194475,0.203663699
RRG,RV,36,500,0.2139,10.77,37,29957.6641,NH4,2.014656598,10.87194475,0.344721445
RRG,RV,36,500,0.2139,10.77,37,29957.6641,NP,4.49610505,10.87194475,-0.500088937
RRG,RV,36,500,0.2139,10.77,37,29957.6641,SRP,0.448089307,10.87194475,0.387102978
RRG,RV,37,500,0.1487,9.65,35,2344.794069,NH4,1.964894899,10.87194475,0.263793468
RRG,RV,37,500,0.1487,9.65,35,2344.794069,NP,4.575745171,10.87194475,-0.449272839
RRG,RV,37,500,0.1487,9.65,35,2344.794069,SRP,0.429415281,10.87194475,0.301467663
RRG,RV,25,250,0.2,10.32,36,117409.2116,NH4,1.386866524,10.87194475,-0.676260187
RRG,RV,25,250,0.2,10.32,36,117409.2116,NP,7.282095596,10.87194475,1.277572459
RRG,RV,25,250,0.2,10.32,36,117409.2116,SRP,0.190448821,10.87194475,-0.794384285
RRG,RV,54,750,0.1783,10.69,36,10778.30833,NH4,1.849620274,10.87194475,0.076321126
RRG,RV,54,750,0.1783,10.69,36,10778.30833,NP,3.859748662,10.87194475,-0.906129864
RRG,RV,54,750,0.1783,10.69,36,10778.30833,SRP,0.47920744,10.87194475,0.529804451
RRG,RV,70,1000,0.1648,9.58,34,6318.396029,NH4,2.359497031,10.87194475,0.905539084
RRG,RV,70,1000,0.1648,9.58,34,6318.396029,NP,5.066529684,10.87194475,-0.136117188
RRG,RV,70,1000,0.1648,9.58,34,6318.396029,SRP,0.465702794,10.87194475,0.467874873
RRG,RV,6,0,0.199,10.61,34,48380.85376,NH4,1.988185037,10.87194475,0.301670465
RRG,RV,6,0,0.199,10.61,34,48380.85376,NP,5.653325594,10.87194475,0.238300607
RRG,RV,6,0,0.199,10.61,34,48380.85376,SRP,0.351684155,10.87194475,-0.054991589
RRG,RV,69,1000,0.1359,9.36,34,11733765.67,NH4,2.960841069,10.87194475,1.883511248
RRG,RV,69,1000,0.1359,9.36,34,11733765.67,NP,4.919955145,10.87194475,-0.229642236
RRG,RV,69,1000,0.1359,9.36,34,11733765.67,SRP,0.601802452,10.87194475,1.09200043
RRG,RV,7,0,0.1763,11.11,36,96185.82328,NH4,1.736333702,10.87194475,-0.107918022
RRG,RV,7,0,0.1763,11.11,36,96185.82328,NP,7.510061404,10.87194475,1.423030962
RRG,RV,7,0,0.1763,11.11,36,96185.82328,SRP,0.231200999,10.87194475,-0.607503023
RRG,RV,66,1000,0.1752,10.28,36,1116158.17,NH4,2.585351624,10.87194475,1.272848797
RRG,RV,66,1000,0.1752,10.28,36,1116158.17,NP,5.498405951,10.87194475,0.139450784
RRG,RV,66,1000,0.1752,10.28,36,1116158.17,SRP,0.470200208,10.87194475,0.488499107
RRG,RV,9,0,0.1579,9.47,34,309553.5479,NH4,2.112577689,10.87194475,0.50397155
RRG,RV,9,0,0.1579,9.47,34,309553.5479,NP,6.687845856,10.87194475,0.898398587
RRG,RV,9,0,0.1579,9.47,34,309553.5479,SRP,0.315883131,10.87194475,-0.21916786
SEWC,CTRL,27,250,0.2234,10.84,35,3411.910683,NH4,0.691602174,13.45400534,-1.806975946
SEWC,CTRL,27,250,0.2234,10.84,35,3411.910683,NP,3.804129763,13.45400534,-0.941618703
SEWC,CTRL,27,250,0.2234,10.84,35,3411.910683,SRP,0.181802992,13.45400534,-0.834032311
SEWC,CTRL,13,0,0.1004,8.36,28,0,NH4,1.498104655,13.45400534,-0.495352439
SEWC,CTRL,13,0,0.1004,8.36,28,0,NP,5.134461263,13.45400534,-0.092771978
SEWC,CTRL,13,0,0.1004,8.36,28,0,SRP,0.291774459,13.45400534,-0.329725366
SEWC,CTRL,71,1000,0.2518,10.71,35,204.3825768,NH4,1.968354613,13.45400534,0.269420038
SEWC,CTRL,71,1000,0.2518,10.71,35,204.3825768,NP,8.239952701,13.45400534,1.888753857
