ind,pop,NaCl,mass_g,svl_mm,stage,ng/uL ,260/280,260/230,Cq1,Cq2,SQ1,SQ2,
349,RR D,0.75 g/L,0.1838,12.12,35,89.80,1.88,0.94,35.48,35.43,9.36900,9.64784,
350,RR D,0.75 g/L,0.1468,10.97,28,74.10,1.92,1.04,35.83,37.05,7.46282,3.42422,
351,RR D,0.75 g/L,0.1777,12.2,33,121.50,1.94,1.15,35.31,34.04,10.44581,23.55122,
375,RR G,1 g/L,0.1615,10.06,33,709.852,1.802,1.008,32.93,32.73,42.01782,49.19302,
377,RR G,1 g/L,0.2112,12.56,36,218.099,1.878,1.053,32.66,32.29,51.98798,69.68976,
378,RR G,1 g/L,0.2578,13.19,41,93.645,1.881,0.978,31.79,31.59,102.95644,119.64144,
379,RR G,1 g/L,0.2646,13.4,38,56.678,1.839,0.8,37.57,35.39,1.12892,6.18544,
380,RR G,1 g/L,0.2104,12.62,35,82.391,1.838,0.745,,38.50,,0.54496,
381,RR G,1 g/L,0.2413,14,38,65.202,1.897,0.956,37.08,37.13,1.65634,1.58910,
383,RR G,1 g/L,0.1868,11.52,35,78.946,1.847,0.874,,,,,
384,RR G,1 g/L,0.2127,12.84,38,79.085,1.787,0.758,,,,,
385,RR G,1 g/L,0.2241,12.7,37,19.926,1.75,0.52,,,,,
386,RR G,1 g/L,0.1005,9.85,29,80.817,1.805,0.755,,,,,
387,RR G,1 g/L,0.2352,13.5,38,210.207,1.745,0.746,,,,,
389,RR G,1 g/L,0.2733,13.89,39,192.627,1.783,0.794,32.09,,81.09327,,
391,RR G,1 g/L,0.2715,14.38,37,101.2,1.876,0.999,,,,,
392,RR G,1 g/L,0.209,12.88,35,131.72,1.774,0.741,,,,,
393,RR G,1 g/L,0.2405,12.05,39,330.677,1.715,0.749,,,,,
395,RR G,1 g/L,0.3104,13.69,39,132.10,1.89,0.90,,,,,
397,RR A,1 g/L,0.2099,10.19,35,135.50,1.95,1.15,35.93,34.68,54.02876,120.64462,
399,RR A,1 g/L,0.1775,9.83,30,62.00,1.92,0.96,,35.30,,80.91953,
400,RR A,1 g/L,0.1692,9.34,31,86.20,1.92,0.99,37.50,38.02,19.66906,14.06398,
401,RR A,1 g/L,0.1547,8.92,31,43.60,1.69,0.65,36.08,35.36,48.78229,77.67673,
402,RR A,1 g/L,0.1293,8.95,32,83.70,1.69,0.70,,,,,
403,RR A,1 g/L,0.2229,10.19,33,138.70,1.85,0.93,37.42,,23.80633,,
405,RR A,1 g/L,0.2363,10.84,35,146.10,1.81,0.85,37.56,,21.72039,,
406,RR A,1 g/L,0.2562,11.15,35,85.20,1.89,1.00,37.58,40.65,21.52017,2.86304,
407,RR A,1 g/L,0.2421,11.41,34,133.30,1.88,0.96,33.42,33.07,328.27938,412.57096,
408,RR A,1 g/L,0.206,10.56,31,473.10,1.52,0.68,37.42,37.48,23.87323,22.89511,
410,RR A,1 g/L,0.1568,9.71,31,57.20,1.84,0.80,33.75,34.05,264.16493,216.55015,
411,RR A,1 g/L,0.1446,9.75,33,105.40,1.84,0.88,31.31,31.22,1309.72481,1384.84529,
413,RR A,1 g/L,0.1379,8.73,31,49.20,1.85,0.86,38.31,,13.29102,,
414,RR A,1 g/L,0.2084,10.86,33,84.30,1.91,0.96,,37.40,,24.20785,
415,RR A,1 g/L,0.2025,10.9,34,73.00,1.81,0.77,23.22,23.30,261774.37654,248218.64145,
417,RR A,1 g/L,0.2482,11.05,34,75.60,1.81,0.77,38.44,37.32,12.18225,25.37110,
