pop,death_hr,survival,rep,FV3
SEWH,246,0,5,CTRL
SEWI,206,1,1,CTRL
SEWI,246,0,2,CTRL
SEWI,246,0,3,CTRL
SEWI,242,1,4,CTRL
SEWI,246,0,5,CTRL
TRLA,246,0,1,CTRL
TRLA,198,1,2,CTRL
TRLA,246,0,3,CTRL
TRLA,246,0,4,CTRL
TRLA,246,0,5,CTRL
TRLB,246,0,1,CTRL
TRLB,246,0,2,CTRL
TRLB,246,0,3,CTRL
TRLB,246,0,4,CTRL
TRLB,246,0,5,CTRL
TRLC,246,0,1,CTRL
TRLC,246,0,2,CTRL
TRLC,246,0,3,CTRL
TRLC,246,0,4,CTRL
TRLC,246,0,5,CTRL
TRLD,246,0,1,CTRL
TRLD,246,0,2,CTRL
TRLD,246,0,3,CTRL
TRLD,246,0,4,CTRL
TRLD,246,0,5,CTRL
TRLE,246,0,1,CTRL
TRLE,246,0,2,CTRL
TRLE,246,0,3,CTRL
TRLE,246,0,4,CTRL
TRLE,246,0,5,CTRL
TRLF,246,0,1,CTRL
TRLF,246,0,2,CTRL
TRLF,246,0,3,CTRL
TRLF,246,0,4,CTRL
TRLF,246,0,5,CTRL
TRLG,246,0,1,CTRL
TRLG,246,0,2,CTRL
TRLG,246,0,3,CTRL
TRLG,246,0,4,CTRL
TRLG,246,0,5,CTRL
TRLH,246,0,1,CTRL
TRLH,246,0,2,CTRL
TRLH,246,0,3,CTRL
TRLH,246,0,4,CTRL
TRLH,246,0,5,CTRL
TRLI,246,0,1,CTRL
TRLI,246,0,2,CTRL
TRLI,246,0,3,CTRL
TRLI,246,0,4,CTRL
TRLI,246,0,5,CTRL
TRLJ,246,0,1,CTRL
TRLJ,246,0,2,CTRL
TRLJ,246,0,3,CTRL
TRLJ,246,0,4,CTRL
TRLJ,246,0,5,CTRL
